setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,recompte
42,2020,12/10/2020,18/10/2020,78,BARCELONA,7802,METROPOLITANA NORD,73.00
39,2021,27/09/2021,03/10/2021,78,BARCELONA,7802,METROPOLITANA NORD,28.00
3,2022,17/01/2022,23/01/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,29.00
16,2022,18/04/2022,24/04/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,2.00
10,2022,07/03/2022,13/03/2022,61,LLEIDA,6100,LLEIDA,4.00
45,2021,08/11/2021,14/11/2021,78,BARCELONA,7801,METROPOLITANA SUD,9.00
2,2021,11/01/2021,17/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,140.00
48,2021,29/11/2021,05/12/2021,78,BARCELONA,7801,METROPOLITANA SUD,17.00
38,2020,14/09/2020,20/09/2020,61,LLEIDA,6100,LLEIDA,5.00
40,2020,28/09/2020,04/10/2020,78,BARCELONA,7801,METROPOLITANA SUD,22.00
23,2021,07/06/2021,13/06/2021,61,LLEIDA,6100,LLEIDA,3.00
25,2022,20/06/2022,26/06/2022,61,LLEIDA,6100,LLEIDA,4.00
10,2022,07/03/2022,13/03/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,2.00
7,2022,14/02/2022,20/02/2022,61,LLEIDA,6100,LLEIDA,6.00
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7803,BARCELONA CIUTAT,278.00
12,2020,16/03/2020,22/03/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,29.00
2,2022,10/01/2022,16/01/2022,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,11.00
12,2021,22/03/2021,28/03/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,23.00
12,2020,16/03/2020,22/03/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,23.00
22,2020,25/05/2020,31/05/2020,78,BARCELONA,7801,METROPOLITANA SUD,27.00
32,2022,08/08/2022,14/08/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,1.00
15,2020,06/04/2020,12/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,198.00
37,2021,13/09/2021,19/09/2021,61,LLEIDA,6100,LLEIDA,9.00
16,2021,19/04/2021,25/04/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,38.00
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,7.00
33,2020,10/08/2020,16/08/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,7.00
39,2022,26/09/2022,02/10/2022,78,BARCELONA,7803,BARCELONA CIUTAT,7.00
3,2021,18/01/2021,24/01/2021,64,GIRONA,6400,GIRONA,54.00
49,2021,06/12/2021,12/12/2021,78,BARCELONA,7801,METROPOLITANA SUD,22.00
44,2021,01/11/2021,07/11/2021,64,GIRONA,6400,GIRONA,9.00
40,2022,03/10/2022,09/10/2022,78,BARCELONA,7801,METROPOLITANA SUD,0.00
24,2020,08/06/2020,14/06/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,2.00
29,2020,13/07/2020,19/07/2020,78,BARCELONA,7801,METROPOLITANA SUD,11.00
25,2021,21/06/2021,27/06/2021,78,BARCELONA,7803,BARCELONA CIUTAT,52.00
17,2020,20/04/2020,26/04/2020,61,LLEIDA,6100,LLEIDA,32.00
40,2020,28/09/2020,04/10/2020,78,BARCELONA,7802,METROPOLITANA NORD,43.00
14,2020,30/03/2020,05/04/2020,61,LLEIDA,6100,LLEIDA,51.00
26,2020,22/06/2020,28/06/2020,64,GIRONA,6400,GIRONA,7.00
18,2020,27/04/2020,03/05/2020,61,LLEIDA,6100,LLEIDA,19.00
30,2022,25/07/2022,31/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,6.00
17,2020,20/04/2020,26/04/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,64.00
24,2021,14/06/2021,20/06/2021,61,LLEIDA,6100,LLEIDA,3.00
36,2021,06/09/2021,12/09/2021,78,BARCELONA,7803,BARCELONA CIUTAT,89.00
32,2022,08/08/2022,14/08/2022,78,BARCELONA,7802,METROPOLITANA NORD,5.00
16,2020,13/04/2020,19/04/2020,64,GIRONA,6400,GIRONA,103.00
46,2021,15/11/2021,21/11/2021,78,BARCELONA,7802,METROPOLITANA NORD,23.00
