setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,recompte
42,2020,12/10/2020,18/10/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
41,2020,05/10/2020,11/10/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
40,2020,28/09/2020,04/10/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
39,2020,21/09/2020,27/09/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
38,2020,14/09/2020,20/09/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
37,2020,07/09/2020,13/09/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
36,2020,31/08/2020,06/09/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
35,2020,24/08/2020,30/08/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
34,2020,17/08/2020,23/08/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
33,2020,10/08/2020,16/08/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
32,2020,03/08/2020,09/08/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
31,2020,27/07/2020,02/08/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,0.00
