setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
4,2022,24/01/2022,30/01/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,4,8.00,7642.00
44,2022,31/10/2022,06/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,1.00,7896.00
45,2022,07/11/2022,13/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,70 a 79,2,1.00,2961.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,3,1.00,57248.00
27,2022,04/07/2022,10/07/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
26,2022,27/06/2022,03/07/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
46,2022,14/11/2022,20/11/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,2.00,7896.00
20,2022,16/05/2022,22/05/2022,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
33,2020,10/08/2020,16/08/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,2.00,15492.00
30,2022,25/07/2022,31/07/2022,64,GIRONA,6400,GIRONA,Dona,45 a 59,3,2.00,54086.00
21,2020,18/05/2020,24/05/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
24,2022,13/06/2022,19/06/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,2.00,18574.00
41,2021,11/10/2021,17/10/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
20,2020,11/05/2020,17/05/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,60 a 69,1,1.00,18320.00
20,2021,17/05/2021,23/05/2021,61,LLEIDA,6100,LLEIDA,Home,80 o més,3,1.00,5403.00
18,2022,02/05/2022,08/05/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,2.00,15344.00
52,2020,21/12/2020,27/12/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,8.00,14700.00
46,2020,09/11/2020,15/11/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
28,2020,06/07/2020,12/07/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,45 a 59,3,1.00,107038.00
30,2022,25/07/2022,31/07/2022,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
33,2021,16/08/2021,22/08/2021,64,GIRONA,6400,GIRONA,Home,60 a 69,4,1.00,17938.00
53,2020,28/12/2020,03/01/2021,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
12,2022,21/03/2022,27/03/2022,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
12,2020,16/03/2020,22/03/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
13,2020,23/03/2020,29/03/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,3,7.00,54706.00
23,2020,01/06/2020,07/06/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,15 a 44,4,1.00,77580.00
11,2022,14/03/2022,20/03/2022,61,LLEIDA,6100,LLEIDA,Home,60 a 69,3,1.00,12911.00
13,2021,29/03/2021,04/04/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,2,1.00,3345.00
24,2022,13/06/2022,19/06/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,4,1.00,6880.00
15,2021,12/04/2021,18/04/2021,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
12,2021,22/03/2021,28/03/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
23,2022,06/06/2022,12/06/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
49,2021,06/12/2021,12/12/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,1.00,32266.00
50,2021,13/12/2021,19/12/2021,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
17,2020,20/04/2020,26/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,45 a 59,4,1.00,21328.00
34,2022,22/08/2022,28/08/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,1.00,32347.00
13,2020,23/03/2020,29/03/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
51,2021,20/12/2021,26/12/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,15 a 44,3,1.00,20166.00
15,2020,06/04/2020,12/04/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,4,21.00,11720.00
50,2020,07/12/2020,13/12/2020,00,No disponible,0000,No disponible,Home,60 a 69,-1,1.00,0.00
48,2021,29/11/2021,05/12/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,1.00,6557.00
19,2021,10/05/2021,16/05/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,60 a 69,2,1.00,4632.00
40,2020,28/09/2020,04/10/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,2.00,6330.00
16,2020,13/04/2020,19/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,45 a 59,2,2.00,31400.00
18,2021,03/05/2021,09/05/2021,64,GIRONA,6400,GIRONA,Dona,80 o més,3,2.00,17568.00
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,45 a 59,2,2.00,74540.00
8,2021,22/02/2021,28/02/2021,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
30,2022,25/07/2022,31/07/2022,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
29,2022,18/07/2022,24/07/2022,00,No disponible,0000,No disponible,Dona,70 a 79,-1,2.00,0.00
10,2021,08/03/2021,14/03/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,5.00,10920.00
45,2020,02/11/2020,08/11/2020,00,No disponible,0000,No disponible,Home,70 a 79,-1,2.00,0.00
27,2022,04/07/2022,10/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,3,15.00,29813.00
16,2020,13/04/2020,19/04/2020,00,No disponible,0000,No disponible,Home,45 a 59,-1,1.00,0.00
41,2021,11/10/2021,17/10/2021,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
17,2022,25/04/2022,01/05/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,4,1.00,20581.00
10,2022,07/03/2022,13/03/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,4,1.00,7958.00
49,2020,30/11/2020,06/12/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
13,2020,23/03/2020,29/03/2020,00,No disponible,0000,No disponible,Home,70 a 79,-1,2.00,0.00
52,2020,21/12/2020,27/12/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
10,2022,07/03/2022,13/03/2022,00,No disponible,0000,No disponible,Home,45 a 59,-1,1.00,0.00
4,2021,25/01/2021,31/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,4,6.00,14623.00
30,2020,20/07/2020,26/07/2020,61,LLEIDA,6100,LLEIDA,Dona,80 o més,4,9.00,4761.00
13,2022,28/03/2022,03/04/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,70 a 79,3,1.00,43721.00
15,2020,06/04/2020,12/04/2020,64,GIRONA,6400,GIRONA,Home,60 a 69,3,4.00,26069.00
15,2020,06/04/2020,12/04/2020,00,No disponible,0000,No disponible,Dona,45 a 59,-1,1.00,0.00
48,2020,23/11/2020,29/11/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
18,2020,27/04/2020,03/05/2020,00,No disponible,0000,No disponible,Home,45 a 59,-1,1.00,0.00
19,2020,04/05/2020,10/05/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,70 a 79,4,1.00,8598.00
15,2022,11/04/2022,17/04/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
14,2020,30/03/2020,05/04/2020,00,No disponible,0000,No disponible,Dona,60 a 69,-1,1.00,0.00
7,2022,14/02/2022,20/02/2022,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
19,2020,04/05/2020,10/05/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
52,2021,27/12/2021,02/01/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
43,2021,25/10/2021,31/10/2021,64,GIRONA,6400,GIRONA,Dona,60 a 69,3,1.00,27775.00
49,2020,30/11/2020,06/12/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
19,2020,04/05/2020,10/05/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
15,2022,11/04/2022,17/04/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,4,1.00,20581.00
20,2020,11/05/2020,17/05/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
3,2021,18/01/2021,24/01/2021,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
47,2020,16/11/2020,22/11/2020,00,No disponible,0000,No disponible,Dona,60 a 69,-1,1.00,0.00
45,2020,02/11/2020,08/11/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,2,1.00,8893.00
15,2021,12/04/2021,18/04/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,4,3.00,2144.00
18,2022,02/05/2022,08/05/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
19,2021,10/05/2021,16/05/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
49,2020,30/11/2020,06/12/2020,64,GIRONA,6400,GIRONA,Home,80 o més,2,2.00,1219.00
29,2022,18/07/2022,24/07/2022,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
20,2020,11/05/2020,17/05/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,3,2.00,49845.00
13,2020,23/03/2020,29/03/2020,00,No disponible,0000,No disponible,Home,60 a 69,-1,1.00,0.00
19,2020,04/05/2020,10/05/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,1,4.00,4649.00
1,2022,03/01/2022,09/01/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,3,4.00,29813.00
50,2020,07/12/2020,13/12/2020,00,No disponible,0000,No disponible,Dona,60 a 69,-1,1.00,0.00
33,2022,15/08/2022,21/08/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,2.00,15344.00
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,1,1.00,12016.00
53,2020,28/12/2020,03/01/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
51,2021,20/12/2021,26/12/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
7,2021,15/02/2021,21/02/2021,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
15,2020,06/04/2020,12/04/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
7,2021,15/02/2021,21/02/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
50,2020,07/12/2020,13/12/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
10,2022,07/03/2022,13/03/2022,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
53,2020,28/12/2020,03/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,3,3.00,41127.00
21,2021,24/05/2021,30/05/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,60 a 69,4,1.00,10069.00
41,2020,05/10/2020,11/10/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,45 a 59,3,1.00,112394.00
30,2021,26/07/2021,01/08/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,4,1.00,3817.00
39,2020,21/09/2020,27/09/2020,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
9,2021,01/03/2021,07/03/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,3.00,30684.00
18,2020,27/04/2020,03/05/2020,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
3,2021,18/01/2021,24/01/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,4,4.00,7248.00
29,2022,18/07/2022,24/07/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,2.00,0.00
50,2021,13/12/2021,19/12/2021,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
44,2020,26/10/2020,01/11/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
5,2022,31/01/2022,06/02/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,3,3.00,42881.00
3,2022,17/01/2022,23/01/2022,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
14,2021,05/04/2021,11/04/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,80 o més,3,1.00,5488.00
21,2020,18/05/2020,24/05/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,2,1.00,1752.00
10,2021,08/03/2021,14/03/2021,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
53,2020,28/12/2020,03/01/2021,61,LLEIDA,6100,LLEIDA,Dona,80 o més,4,1.00,4761.00
18,2021,03/05/2021,09/05/2021,64,GIRONA,6400,GIRONA,Dona,80 o més,4,4.00,10622.00
40,2020,28/09/2020,04/10/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,3,1.00,34591.00
30,2022,25/07/2022,31/07/2022,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
15,2020,06/04/2020,12/04/2020,64,GIRONA,6400,GIRONA,Dona,80 o més,3,36.00,17532.00
20,2020,11/05/2020,17/05/2020,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
41,2020,05/10/2020,11/10/2020,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
17,2020,20/04/2020,26/04/2020,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
45,2020,02/11/2020,08/11/2020,00,No disponible,0000,No disponible,Dona,70 a 79,-1,1.00,0.00
42,2020,12/10/2020,18/10/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,4,1.00,5749.00
11,2020,09/03/2020,15/03/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,2,2.00,27024.00
3,2021,18/01/2021,24/01/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,4,4.00,5908.00
19,2020,04/05/2020,10/05/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,45 a 59,4,1.00,23530.00
15,2020,06/04/2020,12/04/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,2.00,0.00
19,2020,04/05/2020,10/05/2020,64,GIRONA,6400,GIRONA,Dona,70 a 79,4,1.00,13608.00
45,2020,02/11/2020,08/11/2020,00,No disponible,0000,No disponible,Dona,60 a 69,-1,1.00,0.00
49,2021,06/12/2021,12/12/2021,00,No disponible,0000,No disponible,Home,45 a 59,-1,1.00,0.00
1,2022,03/01/2022,09/01/2022,00,No disponible,0000,No disponible,Home,80 o més,-1,2.00,0.00
7,2022,14/02/2022,20/02/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,13.00,30874.00
35,2020,24/08/2020,30/08/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,3,1.00,10782.00
17,2020,20/04/2020,26/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,60 a 69,2,1.00,14943.00
21,2021,24/05/2021,30/05/2021,00,No disponible,0000,No disponible,Home,70 a 79,-1,1.00,0.00
18,2020,27/04/2020,03/05/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,1.00,0.00
47,2020,16/11/2020,22/11/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,1,3.00,476.00
25,2020,15/06/2020,21/06/2020,64,GIRONA,6400,GIRONA,Dona,80 o més,4,2.00,10446.00
29,2022,18/07/2022,24/07/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,70 a 79,2,1.00,3503.00
19,2020,04/05/2020,10/05/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,70 a 79,3,4.00,12844.00
45,2020,02/11/2020,08/11/2020,64,GIRONA,6400,GIRONA,Home,70 a 79,3,4.00,17766.00
49,2021,06/12/2021,12/12/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,4,1.00,7248.00
14,2020,30/03/2020,05/04/2020,00,No disponible,0000,No disponible,Home,80 o més,-1,3.00,0.00
42,2020,12/10/2020,18/10/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,6.00,30267.00
51,2020,14/12/2020,20/12/2020,00,No disponible,0000,No disponible,Dona,60 a 69,-1,1.00,0.00
5,2021,01/02/2021,07/02/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,80 o més,4,2.00,1864.00
14,2021,05/04/2021,11/04/2021,78,BARCELONA,7801,METROPOLITANA SUD,Home,60 a 69,2,1.00,13797.00
51,2020,14/12/2020,20/12/2020,61,LLEIDA,6100,LLEIDA,Home,80 o més,3,4.00,5540.00
28,2022,11/07/2022,17/07/2022,78,BARCELONA,7801,METROPOLITANA SUD,Dona,60 a 69,4,1.00,9151.00
3,2022,17/01/2022,23/01/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,4,2.00,2138.00
17,2021,26/04/2021,02/05/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,4,1.00,3817.00
36,2020,31/08/2020,06/09/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,2,1.00,27024.00
48,2021,29/11/2021,05/12/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,2.00,8009.00
48,2021,29/11/2021,05/12/2021,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
52,2020,21/12/2020,27/12/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,2,2.00,15584.00
2,2022,10/01/2022,16/01/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,45 a 59,3,3.00,120890.00
8,2021,22/02/2021,28/02/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,2,1.00,15484.00
10,2021,08/03/2021,14/03/2021,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Dona,15 a 44,3,1.00,12049.00
50,2020,07/12/2020,13/12/2020,61,LLEIDA,6100,LLEIDA,Dona,45 a 59,3,1.00,24418.00
29,2022,18/07/2022,24/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,60 a 69,4,1.00,11848.00
20,2020,11/05/2020,17/05/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,2,2.00,35811.00
17,2022,25/04/2022,01/05/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,3,1.00,52075.00
5,2021,01/02/2021,07/02/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,70 a 79,4,2.00,3709.00
29,2022,18/07/2022,24/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,7.00,30874.00
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,3,12.00,35283.00
21,2020,18/05/2020,24/05/2020,64,GIRONA,6400,GIRONA,Home,80 o més,3,1.00,10222.00
24,2021,14/06/2021,20/06/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,3,1.00,15586.00
4,2022,24/01/2022,30/01/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,60 a 69,3,1.00,20032.00
44,2022,31/10/2022,06/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,1,2.00,4497.00
39,2021,27/09/2021,03/10/2021,00,No disponible,0000,No disponible,No disponible,No disponible,-1,1.00,0.00
50,2021,13/12/2021,19/12/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,80 o més,4,1.00,2686.00
35,2022,29/08/2022,04/09/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,3,1.00,35549.00
14,2022,04/04/2022,10/04/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,3,2.00,35576.00
27,2020,29/06/2020,05/07/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,80 o més,3,3.00,13968.00
19,2020,04/05/2020,10/05/2020,64,GIRONA,6400,GIRONA,Dona,80 o més,4,6.00,10446.00
20,2020,11/05/2020,17/05/2020,64,GIRONA,6400,GIRONA,Home,45 a 59,3,1.00,54377.00
39,2020,21/09/2020,27/09/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,3,1.00,54706.00
3,2022,17/01/2022,23/01/2022,64,GIRONA,6400,GIRONA,Home,60 a 69,3,1.00,27587.00
1,2021,04/01/2021,10/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,15 a 44,4,1.00,85138.00
47,2020,16/11/2020,22/11/2020,64,GIRONA,6400,GIRONA,Dona,70 a 79,3,4.00,20137.00
10,2021,08/03/2021,14/03/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,4.00,8009.00
46,2020,09/11/2020,15/11/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Dona,80 o més,3,1.00,3087.00
30,2021,26/07/2021,01/08/2021,78,BARCELONA,7801,METROPOLITANA SUD,Dona,70 a 79,2,1.00,11679.00
39,2020,21/09/2020,27/09/2020,64,GIRONA,6400,GIRONA,Dona,70 a 79,3,1.00,20137.00
36,2021,06/09/2021,12/09/2021,00,No disponible,0000,No disponible,Dona,80 o més,-1,1.00,0.00
25,2020,15/06/2020,21/06/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,2,1.00,16611.00
46,2020,09/11/2020,15/11/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,3,15.00,28960.00
14,2020,30/03/2020,05/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,60 a 69,1,2.00,18320.00
51,2021,20/12/2021,26/12/2021,61,LLEIDA,6100,LLEIDA,Dona,60 a 69,3,1.00,12094.00
1,2022,03/01/2022,09/01/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,3.00,5465.00
43,2020,19/10/2020,25/10/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,60 a 69,3,2.00,23752.00
17,2020,20/04/2020,26/04/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,2,2.00,25476.00
19,2021,10/05/2021,16/05/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,45 a 59,4,1.00,26105.00
33,2020,10/08/2020,16/08/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,3.00,30267.00
30,2022,25/07/2022,31/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,2,6.00,16721.00
49,2020,30/11/2020,06/12/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,45 a 59,3,3.00,113810.00
14,2020,30/03/2020,05/04/2020,64,GIRONA,6400,GIRONA,Dona,45 a 59,4,3.00,36618.00
33,2020,10/08/2020,16/08/2020,64,GIRONA,6400,GIRONA,Home,70 a 79,4,1.00,11935.00
14,2022,04/04/2022,10/04/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,3,2.00,18574.00
3,2021,18/01/2021,24/01/2021,61,LLEIDA,6100,LLEIDA,Home,15 a 44,3,1.00,43206.00
23,2022,06/06/2022,12/06/2022,64,GIRONA,6400,GIRONA,Home,80 o més,3,1.00,10434.00
5,2021,01/02/2021,07/02/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,3,1.00,8009.00
17,2020,20/04/2020,26/04/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,60 a 69,4,3.00,5649.00
9,2021,01/03/2021,07/03/2021,64,GIRONA,6400,GIRONA,Home,70 a 79,3,1.00,17926.00
41,2021,11/10/2021,17/10/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,1.00,14788.00
15,2020,06/04/2020,12/04/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,15 a 44,3,1.00,169242.00
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,3,3.00,54706.00
40,2022,03/10/2022,09/10/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,3,1.00,52075.00
20,2020,11/05/2020,17/05/2020,64,GIRONA,6400,GIRONA,Home,80 o més,3,5.00,10222.00
22,2021,31/05/2021,06/06/2021,64,GIRONA,6400,GIRONA,Home,60 a 69,4,1.00,17938.00
15,2022,11/04/2022,17/04/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,80 o més,3,4.00,18709.00
2,2021,11/01/2021,17/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,2,1.00,18652.00
7,2021,15/02/2021,21/02/2021,61,LLEIDA,6100,LLEIDA,Home,80 o més,2,1.00,504.00
4,2022,24/01/2022,30/01/2022,61,LLEIDA,6100,LLEIDA,Home,70 a 79,3,3.00,8359.00
23,2021,07/06/2021,13/06/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,2,1.00,26783.00
49,2020,30/11/2020,06/12/2020,71,ALT PIRINEU I ARAN,7100,ALT PIRINEU I ARAN,Home,70 a 79,3,1.00,2599.00
5,2021,01/02/2021,07/02/2021,64,GIRONA,6400,GIRONA,Home,45 a 59,3,1.00,55361.00
6,2022,07/02/2022,13/02/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,2,6.00,27343.00
14,2021,05/04/2021,11/04/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,60 a 69,3,1.00,7011.00
17,2020,20/04/2020,26/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,3,6.00,21579.00
15,2020,06/04/2020,12/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,15 a 44,3,1.00,78878.00
53,2020,28/12/2020,03/01/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,45 a 59,2,1.00,68643.00
14,2020,30/03/2020,05/04/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,1,4.00,6980.00
48,2021,29/11/2021,05/12/2021,64,GIRONA,6400,GIRONA,Dona,80 o més,3,1.00,17568.00
50,2021,13/12/2021,19/12/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,3,2.00,34631.00
26,2020,22/06/2020,28/06/2020,64,GIRONA,6400,GIRONA,Dona,80 o més,4,2.00,10446.00
