setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
7,2021,15/02/2021,21/02/2021,64,GIRONA,6400,GIRONA,Dona,70 a 79,4,3.00,13788.00
15,2020,06/04/2020,12/04/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,70 a 79,4,9.00,8171.00
14,2021,05/04/2021,11/04/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,4,1.00,2144.00
14,2020,30/03/2020,05/04/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,70 a 79,3,28.00,12844.00
43,2022,24/10/2022,30/10/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,4,1.00,7260.00
34,2020,17/08/2020,23/08/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,3,1.00,11926.00
4,2021,25/01/2021,31/01/2021,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Dona,80 o més,4,2.00,2686.00
21,2021,24/05/2021,30/05/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,3,1.00,30684.00
26,2022,27/06/2022,03/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,3,4.00,19692.00
6,2021,08/02/2021,14/02/2021,64,GIRONA,6400,GIRONA,Home,45 a 59,3,1.00,55361.00
21,2021,24/05/2021,30/05/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,2,1.00,26027.00
33,2021,16/08/2021,22/08/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,60 a 69,1,1.00,14547.00
7,2021,15/02/2021,21/02/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,4,2.00,22712.00
51,2020,14/12/2020,20/12/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,2,4.00,8432.00
2,2021,11/01/2021,17/01/2021,61,LLEIDA,6100,LLEIDA,Home,45 a 59,4,1.00,14523.00
16,2021,19/04/2021,25/04/2021,64,GIRONA,6400,GIRONA,Home,80 o més,2,1.00,1208.00
49,2020,30/11/2020,06/12/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,3,3.00,41127.00
30,2022,25/07/2022,31/07/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,4,1.00,7260.00
22,2022,30/05/2022,05/06/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,2.00,15077.00
22,2020,25/05/2020,31/05/2020,64,GIRONA,6400,GIRONA,Dona,45 a 59,3,1.00,51934.00
40,2020,28/09/2020,04/10/2020,64,GIRONA,6400,GIRONA,Home,80 o més,4,1.00,6201.00
12,2022,21/03/2022,27/03/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,1.00,15077.00
13,2020,23/03/2020,29/03/2020,61,LLEIDA,6100,LLEIDA,Home,70 a 79,4,3.00,4187.00
53,2020,28/12/2020,03/01/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,4,1.00,2148.00
52,2021,27/12/2021,02/01/2022,61,LLEIDA,6100,LLEIDA,Home,80 o més,4,2.00,2755.00
46,2020,09/11/2020,15/11/2020,64,GIRONA,6400,GIRONA,Home,80 o més,4,7.00,6201.00
28,2021,12/07/2021,18/07/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,80 o més,2,2.00,8676.00
43,2020,19/10/2020,25/10/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,3,6.00,6330.00
7,2022,14/02/2022,20/02/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,3,1.00,12202.00
41,2020,05/10/2020,11/10/2020,64,GIRONA,6400,GIRONA,Dona,80 o més,3,3.00,17532.00
36,2020,31/08/2020,06/09/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,45 a 59,3,1.00,112394.00
16,2021,19/04/2021,25/04/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,1,3.00,14788.00
13,2020,23/03/2020,29/03/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,1,28.00,4649.00
50,2020,07/12/2020,13/12/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,4,2.00,19978.00
5,2021,01/02/2021,07/02/2021,78,BARCELONA,7802,METROPOLITANA NORD,Home,45 a 59,1,1.00,16579.00
18,2020,27/04/2020,03/05/2020,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,4,2.00,5689.00
46,2020,09/11/2020,15/11/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,60 a 69,2,1.00,34677.00
13,2020,23/03/2020,29/03/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,15 a 44,4,1.00,19453.00
9,2021,01/03/2021,07/03/2021,78,BARCELONA,7801,METROPOLITANA SUD,Home,70 a 79,3,7.00,34790.00
24,2020,08/06/2020,14/06/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,3,1.00,34591.00
52,2021,27/12/2021,02/01/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,3,3.00,19588.00
34,2021,23/08/2021,29/08/2021,78,BARCELONA,7801,METROPOLITANA SUD,Home,60 a 69,3,1.00,46783.00
45,2022,07/11/2022,13/11/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,4,1.00,12433.00
2,2021,11/01/2021,17/01/2021,64,GIRONA,6400,GIRONA,Dona,70 a 79,4,2.00,13788.00
8,2021,22/02/2021,28/02/2021,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,60 a 69,3,1.00,20112.00
13,2020,23/03/2020,29/03/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,15 a 44,3,2.00,57357.00
18,2020,27/04/2020,03/05/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,2,49.00,32593.00
40,2020,28/09/2020,04/10/2020,64,GIRONA,6400,GIRONA,Dona,45 a 59,4,1.00,36618.00
2,2022,10/01/2022,16/01/2022,78,BARCELONA,7801,METROPOLITANA SUD,Home,60 a 69,2,1.00,14317.00
30,2022,25/07/2022,31/07/2022,78,BARCELONA,7802,METROPOLITANA NORD,Home,60 a 69,3,1.00,52075.00
19,2020,04/05/2020,10/05/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Dona,45 a 59,3,1.00,35316.00
36,2021,06/09/2021,12/09/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,60 a 69,4,2.00,9364.00
37,2022,12/09/2022,18/09/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,3,1.00,10684.00
14,2020,30/03/2020,05/04/2020,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,80 o més,2,1.00,3331.00
4,2021,25/01/2021,31/01/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,70 a 79,3,3.00,11937.00
18,2020,27/04/2020,03/05/2020,63,TERRES DE L'EBRE,6300,TERRES DE L'EBRE,Home,70 a 79,3,1.00,5261.00
51,2020,14/12/2020,20/12/2020,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,80 o més,2,6.00,1657.00
49,2021,06/12/2021,12/12/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,2,1.00,18652.00
43,2022,24/10/2022,30/10/2022,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,2,1.00,26699.00
34,2021,23/08/2021,29/08/2021,61,LLEIDA,6100,LLEIDA,Dona,70 a 79,3,1.00,9409.00
15,2020,06/04/2020,12/04/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,3,25.00,41127.00
